Code;Product label;Exported value in 2018-Q3;Exported value in 2018-Q4;Exported value in 2019-Q1;Exported value in 2019-Q2;Exported value in 2019-Q3;Exported value in 2019-Q4;Exported value in 2020-Q1;Exported value in 2020-Q2;Exported value in 2020-Q3;Exported value in 2020-Q4;Exported value in 2021-Q1;Exported value in 2021-Q2;Exported value in 2021-Q3;Exported value in 2021-Q4;Exported value in 2022-Q1;Exported value in 2022-Q2;Exported value in 2022-Q3;Exported value in 2022-Q4;Exported value in 2023-Q1;Exported value in 2023-Q2;
070310;"Fresh or chilled onions and shallots";3421;5482;2380;1480;3400;3144;2065;803;7259;5772;4677;1922;7911;5648;5677;2004;7924;5853;4481;2578;
121292;"Locust beans "carob", fresh, chilled, frozen or dried, whether or not ground";2027;19634;24280;17784;22365;34370;35180;22992;28109;23106;26298;56182;54298;102410;101284;58394;879;7942;10300;2549;
060290;"Live plants, incl. their roots, and mushroom spawn (excl. bulbs, tubers, tuberous roots, corms, ...";146;132;793;1380;209;287;1107;1702;1435;516;716;1933;919;1077;1549;1984;516;595;1137;2538;
240210;"Cigars, cheroots and cigarillos containing tobacco";15108;14671;15081;15138;17750;18522;7071;134;1313;3596;1616;767;5425;3788;2831;5209;6778;6003;8245;2449;
190590;"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion ...";1612;1755;1794;1552;1538;1783;1701;951;829;1190;3307;3070;2280;2073;1730;2207;2803;3038;3141;2427;
060220;"Edible fruit or nut trees, shrubs and bushes, whether or not grafted";3841;1875;5210;3243;4586;3042;3275;1354;3605;2875;1968;1161;3533;2820;1808;2732;3089;2921;2683;2368;
090921;"Coriander seeds, neither crushed nor ground";1477;2410;2265;1411;1860;3923;3345;2053;2207;3238;2821;3456;4191;4718;3023;2999;4209;3874;3092;2361;
090422;"Fruits of the genus Capsicum or of the genus Pimenta, crushed or ground";147;1914;2000;437;223;957;2081;947;305;1227;2202;944;875;2344;3567;5;3;1309;4176;2348;
070700;"Cucumbers and gherkins, fresh or chilled";226;2194;1884;256;150;3031;1972;209;230;3141;5027;438;298;3540;9079;1649;1648;5681;11262;2336;
200599;"Vegetables and mixtures of vegetables, prepared or preserved otherwise than by vinegar, non-frozen ...";1174;1111;1724;1856;1618;1170;1615;1248;1449;1462;1935;1801;1524;2308;1921;1952;1789;2366;2175;2242;
040891;"Dried birds' eggs, not in shell, whether or not sweetened (excl. egg yolks)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;1238;939;1755;2073;2060;
