Code;Product label;Exported value in 2000-Q1;Exported value in 2000-Q2;Exported value in 2000-Q3;Exported value in 2000-Q4;Exported value in 2001-Q1;Exported value in 2001-Q2;Exported value in 2001-Q3;Exported value in 2001-Q4;Exported value in 2002-Q1;Exported value in 2002-Q2;Exported value in 2002-Q3;Exported value in 2002-Q4;Exported value in 2003-Q1;Exported value in 2003-Q2;Exported value in 2003-Q3;Exported value in 2003-Q4;Exported value in 2004-Q1;Exported value in 2004-Q2;
030635;"Cold-water shrimps and prawns "Pandalus spp., Crangon crangon", whether in shell or not, live, ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030636;"Shrimps and prawns, whether in shell or not, live, fresh or chilled (excl. cold-water shrimps ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030639;"Crustaceans, fit for human consumption, whether in shell or not, live, fresh or chilled (excl. ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030691;"Rock lobster and other sea crawfish "Palinurus spp., Panulirus spp. and Jasus spp.", whether ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030692;"Lobsters "Homarus spp.", whether in shell or not, dried, salted, smoked or in brine, incl. ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030693;"Crabs, whether in shell or not, dried, salted, smoked or in brine, incl. crabs in shell, cooked ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030695;"Shrimps and prawns, whether in shell or not, dried, salted, smoked or in brine, incl. ones ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030699;"Crustaceans, fit for human consumption, whether in shell or not, dried, salted, smoked or in ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030712;"Oysters, even in shell, frozen";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030719;"Oysters, even in shell, smoked, dried, salted or in brine";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030722;"Scallops and other molluscs of the family Pectinidae, frozen, even in shell";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030732;"Mussels "Mytilus spp., Perna spp.", frozen, even in shell";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030739;"Mussels "Mytilus spp., Perna spp.", smoked, dried, salted or in brine, even in shell";10;64;2889;162;42;95;168;5;0;0;0;0;1;0;0;16;77;0;
030743;"Cuttle fish and squid, frozen, with or without shell";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030752;"Octopus "Octopus spp.", frozen";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030772;"Frozen, even in shell, clams, cockles and ark shells "families Arcidae, Arcticidae, Cardiidae, ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030779;"Smoked, dried, salted or in brine, even in shell, clams, cockles and ark shells "families Arcidae, ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030792;"Molluscs, even in shell, frozen (excl. oysters, scallops of the genera Pecten, Chlamys or Placopecten, ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030822;"Frozen sea urchins "Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echinus ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030829;"Smoked, dried, salted or in brine, sea urchins "Strongylocentrotus spp., Paracentrotus lividus, ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030890;"Live, fresh, chilled, frozen, dried, salted or in brine, even smoked, aquatic invertebrates ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
