Code	Product label	Exported value in 2013-Q4	Exported value in 2014-Q1	Exported value in 2014-Q2	Exported value in 2014-Q3	Exported value in 2014-Q4	Exported value in 2015-Q1	Exported value in 2015-Q2	Exported value in 2015-Q3	Exported value in 2015-Q4	Exported value in 2016-Q1	Exported value in 2016-Q2	Exported value in 2016-Q3	Exported value in 2016-Q4	Exported value in 2017-Q1	Exported value in 2017-Q2	Exported value in 2017-Q3	Exported value in 2017-Q4	Exported value in 2018-Q1	Exported value in 2018-Q2	Exported value in 2018-Q3	
030722	"Scallops and other molluscs of the family Pectinidae, frozen, even in shell"	0	0	0	0	0	0	0	0	0	0	0	0	0	527	343	0	0	307	263	49	
210230	"Prepared baking powders"	18	56	140	1	8	6	69	45	67	38	50	6	9	19	89	33	48	17	123	46	
210330	"Mustard flour and meal, whether or not prepared, and mustard"	32	12	70	73	35	3	10	25	7	5	19	2	8	13	29	23	47	20	45	46	
200791	"Citrus fruit jams, jellies, marmalades, purées or pastes, obtained by cooking, whether or not ..."	3	17	2	0	9	26	36	0	7	4	0	4	8	19	25	15	31	30	19	45	
030633	"Crabs, whether in shell or not, live, fresh or chilled"	0	0	0	0	0	0	0	0	0	0	0	0	0	65	1	1	1	9	5	38	
180632	"Chocolate and other preparations containing cocoa, in blocks, slabs or bars of <= 2 kg (excl. ..."	0	0	146	0	140	0	26	34	168	24	0	41	186	248	574	82	363	92	310	38	
030759	"Octopus "Octopus spp.", smoked, dried, salted or in brine"	70833	94106	80881	112513	71461	145682	69943	101234	74342	164553	90299	119708	57868	880	36	194	55	0	61	37	
110319	"Groats and meal of cereals (excl. wheat and maize)"	124	75	98	80	107	119	165	80	99	36	132	26	70	84	156	67	135	143	191	36	
081290	"Fruit and nuts, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ..."	32	40	59	63	7	24	36	56	43	69	86	7	12	78	75	31	38	44	65	33	
230910	"Dog or cat food, put up for retail sale"	0	0	0	0	0	0	24	0	0	0	0	0	0	115	57	52	12	35	0	33	
220110	"Mineral waters and aerated waters, not containing added sugar, other sweetening matter or flavoured"	45	39	190	34	118	64	76	91	46	84	136	65	99	76	89	63	30	85	68	32	
030749	"Cuttle fish and squid, smoked, dried, salted or in brine, with or without shell"	30169	51029	35838	64701	22885	56605	34227	50025	24965	79065	64714	67476	40682	540	45	184	1028	0	243	31	
200990	"Mixtures of fruit juices, incl. grape must, and vegetable juices, unfermented, whether or not ..."	569	407	698	400	643	474	540	421	409	195	256	201	79	25	62	43	76	73	50	31	
